timestamp,fastestFee,nonConfirmedCount
2025-04-04 12:24:35,1,1687
2025-04-04 12:55:01,1,419
2025-04-04 13:00:00,1,456
2025-04-04 13:05:01,1,1742
2025-04-04 13:10:01,3,2768
2025-04-04 13:15:00,3,3896
2025-04-04 13:20:15,1,502
2025-04-04 13:25:01,1,997
2025-04-04 13:30:00,1,2149
2025-04-04 13:35:00,3,3153
2025-04-04 13:40:01,1,1069
2025-04-04 13:45:00,1,1290
2025-04-04 13:50:01,1,2367
2025-04-04 13:55:00,1,1042
2025-04-04 14:00:00,1,2004
2025-04-04 14:05:00,1,383
